District_N,party,Lean,Dallet.margin,Dallet.pct,Walker14.pct,Clinton.pct,Trump.pct,Obama.pct,Romney.pct,Lean_pres,Lean_pres.ass
77,Dem,0.7029101271096782,0.8118583869107395,0.9059291934553697,0.1808639431250322,0.80868602233668,0.1261009016162228,0.8024737115203372,0.17665434752681797,NA,0.67
10,Dem,0.7005060691488246,0.7174683846682248,0.8587341923341124,0.13175943975164248,0.8598971722365039,0.09557317763931855,0.8746067415730338,0.11640449438202247,NA,0.76
16,Dem,0.6778265228783438,0.7763807813201618,0.8881903906600809,0.1152822418642025,0.85650129667503,0.09639671930675325,0.8794314153258794,0.11061494409599128,NA,0.76
76,Dem,0.6625112095817132,0.8589656046461012,0.9294828023230506,0.16960753811280502,0.8095230111493,0.11756224327269679,0.810742228801015,0.1624726862620709,NA,0.68
11,Dem,0.6236962892866209,0.46331566625661885,0.7316578331283095,0.19954637345298556,0.8147233310544075,0.14851244955119863,0.824565253168029,0.16918097536891766,NA,0.66
48,Dem,0.6128439080519955,0.691618778453319,0.8458093892266596,0.22865900383141763,0.7423458872025482,0.196271313471988,0.7639800958212324,0.22111026841044046,NA,0.55
8,Dem,0.5844195030804321,0.5250506805676223,0.7625253402838111,0.2510708649582926,0.7687638228789233,0.17363888758176085,0.7961345555171221,0.19331546177793152,NA,0.6
78,Dem,0.5826120951768734,0.6798088834513257,0.8399044417256629,0.2652669256624034,0.7453095178076272,0.190338146854406,0.724720424845486,0.26168596958657314,NA,0.53
18,Dem,0.580057228826709,0.6490222941835846,0.8245111470917923,0.14576679722808075,0.8399792450382669,0.11456738876637697,0.8632324963937031,0.12857232454581566,NA,0.73
47,Dem,0.5383831524606029,0.6554900529646841,0.827745026482342,0.2522997416020672,0.7315958559545749,0.20631817502614933,0.7412274725955286,0.2446522573852728,NA,0.52
17,Dem,0.48159450003632703,0.5246073298429319,0.762303664921466,0.1675965085935391,0.8366443664844578,0.12507138777841234,0.8490695128626163,0.1452004652435687,NA,0.71
19,Dem,0.47500937008398036,0.6929283722925155,0.8464641861462577,0.2791285447101046,0.7280308498917214,0.19030431974469056,0.7179866231588815,0.26144332870612413,NA,0.52
9,Dem,0.4620935864783299,0.344785575048733,0.6723927875243665,0.32520846696600386,0.6882744228511803,0.25214555888874396,0.7188710834728533,0.26912221956469745,NA,0.44
79,Dem,0.42482058810873646,0.5256134416539597,0.7628067208269799,0.3546116381715793,0.6560328819712491,0.2783909532850675,0.6541527850216607,0.3345857859051187,NA,0.36
80,Dem,0.364928910838847,0.45492084760155715,0.7274604238007786,0.3844135118361557,0.6207976024450313,0.3121717456455298,0.633847638870036,0.3546596684916218,NA,0.3
12,Dem,0.31014064591917495,0.3031876236137953,0.6515938118068977,0.27058648922749645,0.7446762651952754,0.21260453487369602,0.7606293382693198,0.232596020360944,NA,0.53
46,Dem,0.24117925921317226,0.390921548352934,0.695460774176467,0.3913835601757582,0.5956081968648743,0.3394123828706542,0.6273219215902817,0.3623191606847046,NA,0.26
66,Dem,0.2392299188019831,0.2509019145663766,0.6254509572831883,0.3648301455894947,0.6202825216107949,0.3248396132646607,0.6844725545479946,0.30450354339708907,NA,0.32
81,Dem,0.2016603039176088,0.18381170716720446,0.5919058535836023,0.452687896639062,0.48985445408429334,0.4480159294552695,0.5944668587896254,0.39425936599423633,NA,0.08
7,Dem,0.18813829181428177,0.1509663612153222,0.5754831806076611,0.4687889984584139,0.547232310332442,0.3841441513349563,0.5761520294392267,0.410446531553798,NA,0.16
44,Dem,0.18061432917631626,0.2702429623000186,0.6351214811500093,0.40651794059084073,0.5329398324447829,0.3941355674028941,0.6188470262467964,0.37069549592011075,NA,0.17
95,Dem,0.17835111876325263,0.429784477528352,0.714892238764176,0.4152333273735026,0.554065916527013,0.3617960790572713,0.6194879089615932,0.36249407302038883,NA,0.21
20,Dem,0.16212892000882564,0.2530667454288511,0.6265333727144256,0.4492167761495705,0.5506992240585682,0.3821621147691903,0.5833677685950414,0.4033884297520661,NA,0.17
45,Dem,0.14604970849461862,0.2319309870076926,0.6159654935038463,0.4305533019633295,0.5144264602392681,0.4228803965364257,0.6232269247436083,0.3640329336992633,NA,0.13
65,Dem,0.13544923780936155,0.28369529857470815,0.641847649287354,0.4028409874500069,0.5538461538461539,0.3858775370970493,0.6458532375874503,0.3406786451752088,NA,0.2
91,Dem,0.11540228584963982,0.3346060819970252,0.6673030409985126,0.45506282571857914,0.5247206636934734,0.3913585575216995,0.5822963868709391,0.4001294684600446,NA,0.15
43,Dem,0.1127244928934567,0.24864906911664092,0.6243245345583205,0.4441176470588235,0.5081391134433256,0.4215004963834917,0.5894019496989885,0.39724352901628823,NA,0.11
64,Dem,0.06006666335521384,0.2003882642986114,0.6001941321493057,0.45332728972492137,0.5272719342245873,0.4151091531633699,0.5926097649477886,0.39513365318711446,NA,0.13
90,Dem,0.04702941905900573,0.2599787377983957,0.6299893688991979,0.48891804673924605,0.4943635447335614,0.4281849287817299,0.5900727860897695,0.394561261625556,NA,0.1
73,Dem,0.03351132428514819,0.13630329974313377,0.5681516498715669,0.4494446352914233,0.4494474909752266,0.4910303397723828,0.5869701683997925,0.39771827833729084,NA,0.02
94,Dem,0.025675088642943145,0.2679805258508084,0.6339902629254042,0.4857142857142857,0.47976317577404637,0.4515772105212074,0.5521285669975186,0.43364221464019853,NA,0.05
51,Rep,0.023565060095793438,0.17411443132093152,0.5870572156604658,0.4878593535624262,0.46669680129756175,0.4742747746550028,0.582513999638719,0.4056669505303089,NA,0.04
