CNTY_NAME,MCD_NAME,STR_WARDS,CTV,Dallet,total,dallet_pct
kenosha,kenosha,0035,c,137,204,0.6715686274509803
kenosha,kenosha,0036,c,32,42,0.7619047619047619
kenosha,kenosha,0037,c,117,163,0.7177914110429447
kenosha,kenosha,0038,c,246,361,0.6814404432132964
kenosha,kenosha,0039,c,80,140,0.5714285714285714
kenosha,kenosha,0040,c,39,58,0.6724137931034483
kenosha,kenosha,0041,c,56,93,0.6021505376344086
kenosha,kenosha,0042,c,36,53,0.6792452830188679
kenosha,kenosha,0043,c,125,211,0.5924170616113744
kenosha,kenosha,0044,c,66,141,0.46808510638297873
kenosha,kenosha,0045,c,41,65,0.6307692307692307
kenosha,kenosha,0046,c,53,74,0.7162162162162162
kenosha,kenosha,0047,c,23,34,0.6764705882352942
kenosha,kenosha,0048,c,31,40,0.775
kenosha,kenosha,0049,c,36,52,0.6923076923076923
kenosha,kenosha,0050,c,61,80,0.7625
