SEN_NUM,party,Lean,Dallet.margin,Dallet.pct,Walker14.pct,Clinton.pct,Trump.pct,Obama.pct,Romney.pct,Lean_pres
1,NA,-0.18913374517392656,0.0760389883269984,0.5380194941634993,0.6036958123419423,0.3875865165755694,0.5489989625752907,0.4713934578283453,0.5153428765767994,-0.13
2,0,-0.2286518690457786,0.02755944363451085,0.5137797218172554,0.6148078449822106,0.36948506533914127,0.5706751711263224,0.46490486919514334,0.5226874452372011,-0.17
3,1,0.32884113099142714,0.2621066817535178,0.6310533408767589,0.397401384890687,0.6269436791259209,0.3079733708569334,0.6562904189989675,0.3311559154393783,0.32
4,1,0.4812034000232459,0.4977832884160541,0.748891644208027,0.21194891618143563,0.7958117004530947,0.16139215737431187,0.8092632042900169,0.1830015426430618,0.63
5,0,-0.1533436690385707,-9.259385200582337e-4,0.49953703073997086,0.5819372562486202,0.4772113448708865,0.45029428477225375,0.45828911059223093,0.5307259605179367,0
6,1,0.6018544716338073,0.6403106408102093,0.8201553204051046,0.14980639703250578,0.8397400730216984,0.11614422731314201,0.859116388215391,0.13248719487951102,0.72
7,1,0.2076185969735193,0.3584913147776963,0.6792456573888481,0.4229966854105114,0.5896963584687065,0.33765638414029353,0.6071391969980054,0.37702307467934315,0.25
8,0,-0.2338111411056777,-0.0852634184054451,0.4573682907972774,0.6262384305758749,0.4374055638045277,0.49999018844722365,0.41758630715360207,0.5731540824452956,-0.09
9,0,-0.22258931716254682,-0.06625673118316039,0.4668716344084198,0.6367811646401895,0.3670156228064898,0.5620299620961434,0.44980834077874166,0.5379235476650239,-0.17
10,1,-0.1594393246237632,0.02608709838556894,0.5130435491927845,0.5704382795033676,0.3749864549368061,0.5514761656142563,0.4596208568794838,0.5215422227566029,-0.15
11,0,-0.193775600451238,-0.07319633525529234,0.4634018323723539,0.6123832145684878,0.3791683751600405,0.5536690069539167,0.4405866531503176,0.5474775386074345,-0.16
12,0,-0.2738016510866065,-0.0730058345155079,0.4634970827422461,0.6170692774289667,0.3315323610399312,0.618981437245381,0.4535301020102267,0.5339049103663289,-0.24
13,0,-0.20066567812679947,-0.06972499151781003,0.46513750424109496,0.6152553732590273,0.37825575273312895,0.5571479451206293,0.43715867863280505,0.5512621729998091,-0.16
14,0,-0.1186585578717492,-0.029912522982826484,0.4850437385085868,0.5778283606251778,0.3656918975684627,0.5771710154293561,0.48390518575234087,0.5049289371680146,-0.16
15,1,0.1366257705677102,0.24782363739756091,0.6239118186987804,0.4339064060493651,0.5174137210274513,0.4131729295369037,0.605080667987546,0.38236803000283043,0.13
16,1,0.4524660349347751,0.6018523943301998,0.8009261971650998,0.2825428944816829,0.6994890784331739,0.23739832802153926,0.7184175275445868,0.26845364584429154,0.46
17,0,-0.03992556928370238,0.08480657602758085,0.5424032880137905,0.5058879442361515,0.4239333565614013,0.5140688184304161,0.5620202943406416,0.4243532087699802,-0.03
18,0,-0.2070816241770238,0.008648197241027222,0.5043240986205136,0.5850265974912984,0.38561535270150954,0.5458761954405711,0.4718338200542788,0.5139257226000186,-0.13
19,0,-0.13339590286516922,0.12005762907231204,0.560028814536156,0.5786088170291962,0.4160055191445326,0.5139237202017471,0.4816966019866447,0.4998797654501397,-0.08
20,0,-0.4218506114593913,-0.31448320439939875,0.34275839780030065,0.7393051533360375,0.2865251003033565,0.6536190755781713,0.31491308325709055,0.674123871275707,-0.37
21,0,-0.16316463065260312,-0.05164893861195541,0.4741755306940223,0.5851896621193806,0.4058365306359726,0.5388675735379607,0.46580749687016715,0.5238603726342146,-0.11
22,1,0.13386181696089838,0.22812964161292187,0.614064820806461,0.41450282240555797,0.5592299875804448,0.38297391893417637,0.6345560507370587,0.35316299985883964,0.2
23,0,-0.16779318009043614,0.024627814436640194,0.5123139072183202,0.5808805174174515,0.3751558589510132,0.5658464822971142,0.4820215470063049,0.503939429574216,-0.15
24,0,-0.13132946290620354,0.06916871733548985,0.5345843586677449,0.5406966648530382,0.3996514613594861,0.5402348927965591,0.5091167308044713,0.47586586036283673,-0.1
25,1,-0.05585783245020156,0.07716625890082202,0.538583129450411,0.5016992720936269,0.411103236475313,0.5339475549255847,0.5400072664263157,0.44471460644848754,-0.07
26,1,0.6545975527320879,0.7705899602204973,0.8852949801102487,0.21402664404490881,0.7827593346676789,0.1501276830699151,0.7736483147178017,0.20711955831062284,0.62
27,1,0.3648534193987126,0.4428811568264849,0.7214405784132425,0.37841641605757037,0.6129829253126874,0.32205292437723887,0.6396382391641082,0.3489692925232763,0.29
28,0,-0.23145058856326597,-0.17611296850431396,0.411943515747843,0.6493640279929848,0.3842880006889969,0.5545635276639418,0.39817058062384714,0.5924689590617515,-0.18
29,0,-0.21912746574526518,-0.034912080462038864,0.48254395976898057,0.6109859873742136,0.36051750543149197,0.5855949709726823,0.46295787261587024,0.5239898206194525,-0.18
30,1,-0.16066866735315202,0.09906207683310675,0.5495310384165534,0.5725599033411889,0.4059734002787341,0.5316529299380693,0.5019739983106247,0.48570457967608066,-0.09
31,1,-0.03150615660646877,0.15536068430898597,0.5776803421544929,0.5151179983933124,0.43715685484232114,0.49322442253092225,0.5345795067029934,0.45046280425094276,-0.02
32,1,0.01918415835426224,0.23297744270433507,0.6164887213521675,0.47944229199331373,0.474133064516129,0.4547883064516129,0.5666945758642604,0.41704411334496777,0.05
33,0,-0.3840677481816068,-0.29835203655164033,0.35082398172417983,0.7304606754874018,0.32693690420045923,0.6047254200072675,0.3219217188791225,0.6684847118924198,-0.29
