Precinct,Total.x,Trump,Clinton,trump_pct,clinton_pct,Total.y,Jones,Moore,jones_pct,moore_pct,change_dem
BROWNSBORO BAPT CHURCH,1778,1262,402,0.7097862767154106,0.22609673790776152,1164,464,670,0.39862542955326463,0.5756013745704467,0.1725286916455031
BROWNSGLEN ALLEN COMM CT,206,187,15,0.9077669902912622,0.07281553398058252,95,17,77,0.17894736842105263,0.8105263157894737,0.10613183444047011
BROWNSWHITES CHAPEL CTR,226,170,51,0.7522123893805309,0.22566371681415928,130,46,82,0.35384615384615387,0.6307692307692307,0.12818243703199458
BROWNVILLE FIRE DEPT,217,133,82,0.6129032258064516,0.3778801843317972,120,54,66,0.45,0.55,0.0721198156682028
BROWNVILLE VFD,261,54,205,0.20689655172413793,0.7854406130268199,195,168,27,0.8615384615384616,0.13846153846153847,0.0760978485116417
BRUNDIDGEHAISTEN BLDG,328,194,129,0.5914634146341463,0.3932926829268293,202,108,93,0.5346534653465347,0.4603960396039604,0.1413607824197054
BRUSHY POND COMMUNITY CTR,543,489,41,0.9005524861878453,0.07550644567219153,355,59,294,0.16619718309859155,0.828169014084507,0.09069073742640002
BRYANT COMMUNITY BLDG,851,746,77,0.8766157461809636,0.09048178613396005,406,63,342,0.15517241379310345,0.8423645320197044,0.06469062765914341
BUCK CREEK FIRE,363,339,21,0.9338842975206612,0.05785123966942149,198,18,180,0.09090909090909091,0.9090909090909091,0.03305785123966942
BUCKSNORT,153,101,51,0.6601307189542484,0.3333333333333333,108,42,66,0.3888888888888889,0.6111111111111112,0.05555555555555558
BUCKSNORT COMMUNITY CTR,449,371,48,0.8262806236080178,0.10690423162583519,269,61,202,0.22676579925650558,0.7509293680297398,0.1198615676306704
BUENA VISTA VREN FD,210,45,164,0.21428571428571427,0.780952380952381,146,116,30,0.7945205479452054,0.2054794520547945,0.013568166992824482
BUFFALO,275,152,118,0.5527272727272727,0.4290909090909091,144,73,70,0.5069444444444444,0.4861111111111111,0.07785353535353534
BUHL VFD STATION,386,351,28,0.9093264248704663,0.07253886010362694,218,25,191,0.11467889908256881,0.8761467889908257,0.04214003897894188
BURKEVILLE VOLUNTEER,468,150,306,0.32051282051282054,0.6538461538461539,351,272,73,0.7749287749287749,0.20797720797720798,0.12108262108262102
BURNT CORN FIRE DEPT,149,48,99,0.3221476510067114,0.6644295302013423,113,81,32,0.7168141592920354,0.2831858407079646,0.05238462909069308
BUSHS GROCERY,55,42,11,0.7636363636363637,0.2,33,13,20,0.3939393939393939,0.6060606060606061,0.1939393939393939
BUTLER,1325,913,385,0.6890566037735849,0.29056603773584905,743,320,417,0.4306864064602961,0.5612382234185733,0.14012036872444705
BYLOR VOTING CTRBANKSTON,405,358,39,0.8839506172839506,0.0962962962962963,209,25,183,0.11961722488038277,0.8755980861244019,0.02332092858408648
BYNUM COMMUNITY CTR,1923,1560,312,0.8112324492979719,0.1622464898595944,1036,309,719,0.2982625482625483,0.694015444015444,0.1360160584029539
CADDO FIRE  DEPT,1087,906,144,0.8334866605335787,0.13247470101195952,595,122,468,0.20504201680672268,0.7865546218487395,0.07256731579476317
CADDO SR CENTER,1034,878,123,0.8491295938104448,0.11895551257253385,564,124,430,0.2198581560283688,0.7624113475177305,0.10090264345583495
CALHOUN CO HEALTH DEPT,816,343,441,0.42034313725490197,0.5404411764705882,523,359,156,0.6864244741873805,0.2982791586998088,0.1459832977167923
CALHOUN CO HWY DEPT,85,39,42,0.4588235294117647,0.49411764705882355,48,33,14,0.6875,0.2916666666666667,0.19338235294117645
CALLAHAN BOYS  GIRLS 1,1118,869,216,0.7772808586762076,0.19320214669051877,186,51,131,0.27419354838709675,0.7043010752688172,0.08099140169657798
CALLAHAN BOYS  GIRLS 2,610,459,118,0.7524590163934426,0.19344262295081968,782,277,485,0.35421994884910485,0.6202046035805626,0.16077732589828517
CAMP BRANCH CIVIC CENTER,1033,878,129,0.8499515972894482,0.12487899322362052,685,180,487,0.26277372262773724,0.710948905109489,0.13789472940411673
CANOE CIVIC CLUB,343,295,33,0.8600583090379009,0.09620991253644315,209,23,183,0.11004784688995216,0.8755980861244019,0.01383793435350901
CAPPS POST OFFICE,390,224,153,0.5743589743589743,0.3923076923076923,273,134,139,0.4908424908424908,0.5091575091575091,0.09853479853479852
CAPSHAW BAPTIST CHURCH,2803,1583,1018,0.5647520513735284,0.36318230467356405,1932,1118,781,0.5786749482401656,0.40424430641821946,0.21549264356660158
CARBON HILL COMM CTR,956,750,179,0.7845188284518828,0.18723849372384938,527,169,353,0.3206831119544592,0.6698292220113852,0.13344461823060982
CARLOWVILLE MINTER VFD,229,58,171,0.25327510917030566,0.7467248908296943,197,143,52,0.7258883248730964,0.2639593908629442,-0.020836565956597886
CAROLINA CITY HALL,476,454,20,0.9537815126050421,0.04201680672268908,248,25,223,0.10080645161290322,0.8991935483870968,0.05878964489021414
CARRIE MATTHEWS REC CTR,1094,57,1022,0.05210237659963437,0.9341864716636198,811,779,31,0.9605425400739828,0.03822441430332922,0.026356068410362976
CARROLLS CREEK BAPT,2937,2507,324,0.853592100783112,0.11031664964249234,1818,473,1296,0.2601760176017602,0.7128712871287128,0.14985936795926785
CARTERSVILLE FIRE HALL,559,466,72,0.8336314847942755,0.12880143112701253,307,61,239,0.1986970684039088,0.7785016286644951,0.06989563727689627
CARVER COMMUNITY CENTER,936,28,896,0.029914529914529916,0.9572649572649573,696,686,9,0.985632183908046,0.01293103448275862,0.02836722664308866
CARVER RECREATION,663,115,537,0.17345399698340874,0.8099547511312217,412,351,61,0.8519417475728155,0.14805825242718446,0.04198699644159376
CASTLEBERRY FIRE DEPT,197,55,142,0.27918781725888325,0.7208121827411168,134,101,33,0.753731343283582,0.2462686567164179,0.03291916054246524
CAVE SPRINGS MIS BAPTIST,172,28,141,0.16279069767441862,0.8197674418604651,121,111,10,0.9173553719008265,0.08264462809917356,0.09758793004036137
CAVERS GROVE,277,244,23,0.8808664259927798,0.08303249097472924,118,16,101,0.13559322033898305,0.8559322033898306,0.05256072936425381
CEDAR BLUFF 1ST BAPTIST,1050,846,173,0.8057142857142857,0.16476190476190475,516,156,354,0.3023255813953488,0.686046511627907,0.13756367663344407
CEDAR GROVE BAPTIST,1086,882,156,0.8121546961325967,0.143646408839779,650,197,429,0.3030769230769231,0.66,0.15943051423714408
CELEBRATIONS,1477,1280,153,0.8666215301286392,0.1035883547731889,949,231,690,0.2434141201264489,0.7270811380400422,0.13982576535326
CENTER HILL COMMUNITY CTR,292,260,18,0.8904109589041096,0.06164383561643835,191,34,155,0.17801047120418848,0.8115183246073299,0.11636663558775012
CENTER HILLVOTING HOUSE,127,54,73,0.4251968503937008,0.5748031496062992,106,66,40,0.6226415094339622,0.37735849056603776,0.047838359827663046
CENTER STAR 1ST BAPTIST,2362,1868,382,0.7908552074513124,0.16172734970364097,1222,380,823,0.3109656301145663,0.6734860883797054,0.14923828041092532
CENTRAL ACTIVITIES BLDG,1969,947,956,0.4809547993905536,0.4855256475368207,1013,627,378,0.6189536031589339,0.37314906219151034,0.13342795562211318
CENTRAL VOL FIRE DEPT,453,231,218,0.5099337748344371,0.48123620309050774,296,186,110,0.6283783783783784,0.3716216216216216,0.14714217528787066
CENTREVILLE ROCK BLDG,1111,849,235,0.7641764176417641,0.21152115211521152,671,192,471,0.28614008941877794,0.7019374068554396,0.07461893730356642
CHALYBEATE FIRE DEPT 171,779,658,85,0.8446726572528883,0.10911424903722722,455,79,371,0.17362637362637362,0.8153846153846154,0.0645121245891464
CHANCELLOR COMMUNITY CTR,376,351,19,0.9335106382978723,0.05053191489361702,256,21,228,0.08203125,0.890625,0.03149933510638298
CHANDLER MT COMM CTR,170,136,25,0.8,0.14705882352941177,113,21,92,0.18584070796460178,0.8141592920353983,0.03878188443519001
CHAPEL HILL BAPT,2025,1628,318,0.8039506172839506,0.15703703703703703,1145,375,746,0.32751091703056767,0.651528384279476,0.17047387999353064
CHAPEL HILL COMMUNITY CTR,345,311,30,0.9014492753623189,0.08695652173913043,210,24,185,0.11428571428571428,0.8809523809523809,0.02732919254658385
CHAPMAN POST OFFICE,149,120,25,0.8053691275167785,0.16778523489932887,78,24,54,0.3076923076923077,0.6923076923076923,0.13990707279297884
CHAPPELL HILL,252,242,7,0.9603174603174603,0.027777777777777776,131,9,122,0.06870229007633588,0.9312977099236641,0.040924512298558105
CHARITY CHAPEL FIRE HOUSE,234,219,7,0.9358974358974359,0.029914529914529916,120,10,109,0.08333333333333333,0.9083333333333333,0.05341880341880341
CHARLES STONE AG CTR,580,142,403,0.24482758620689654,0.6948275862068966,431,365,62,0.8468677494199536,0.14385150812064965,0.15204016321305702
CHATOM COURTHOUSE,775,588,170,0.7587096774193548,0.21935483870967742,447,139,297,0.31096196868008946,0.6644295302013423,0.09160712997041204
CHELSEA CHURCH OF GOD,2636,2168,342,0.8224582701062215,0.12974203338391502,1634,449,1133,0.2747858017135863,0.693390452876377,0.14504376832967128
CHELSEA COMMUNITY CTR,1453,1228,158,0.8451479697178252,0.10874053682037164,884,201,666,0.22737556561085973,0.753393665158371,0.11863502879048808
CHEROKEE LIONS DEN,860,573,244,0.6662790697674419,0.2837209302325581,465,219,237,0.47096774193548385,0.5096774193548387,0.18724681170292573
CHESTNUT GROVE VOTING,133,126,3,0.9473684210526315,0.022556390977443608,81,6,75,0.07407407407407407,0.9259259259259259,0.05151768309663046
CHINA GROVE COUNTY BLDG,180,100,76,0.5555555555555556,0.4222222222222222,128,63,64,0.4921875,0.5,0.06996527777777778
CHISHOLM COMM CTR,338,157,180,0.46449704142011833,0.5325443786982249,235,150,84,0.6382978723404256,0.3574468085106383,0.10575349364220066
CHOCCOLOCCO COMM CTR,1278,1035,195,0.8098591549295775,0.15258215962441316,683,215,462,0.31478770131771594,0.6764275256222547,0.16220554169330278
CHRIST ANGLICAN CHURCH 1,1238,272,936,0.2197092084006462,0.7560581583198708,1071,893,168,0.8338001867413632,0.1568627450980392,0.07774202842149247
CHRIST ANGLICAN CHURCH 2,587,143,427,0.24361158432708688,0.727427597955707,280,232,43,0.8285714285714286,0.15357142857142858,0.10114383061572163
CHRIST UNITED METHODIST,2141,1562,432,0.7295656235404017,0.20177487155534796,1663,669,934,0.40228502705953095,0.5616355983162958,0.200510155504183
CHRISTIAN HOME,254,212,38,0.8346456692913385,0.14960629921259844,110,22,88,0.2,0.8,0.050393700787401574
CHRISTIAN OUTREACH ALLNCE,625,93,519,0.1488,0.8304,462,419,41,0.9069264069264069,0.08874458874458875,0.07652640692640689
CHRYSLERELISKA,214,146,66,0.6822429906542056,0.308411214953271,155,63,92,0.4064516129032258,0.5935483870967742,0.09804039794995478
CHUCKIE MULLINS PRCT24,414,124,273,0.2995169082125604,0.6594202898550725,253,203,50,0.8023715415019763,0.1976284584980237,0.1429512516469038
CHULAFINNEE MASONIC,764,625,119,0.8180628272251309,0.15575916230366493,401,88,311,0.2194513715710723,0.7755610972568578,0.06369220926740737
CHURCH OF THE HIGHLANDS,3811,2460,1103,0.6454998688008396,0.28942534767777484,2777,1493,1158,0.5376305365502341,0.4169967590925459,0.24820518887245924
CITY CHURCH OF MOBILE 1,984,417,515,0.42378048780487804,0.5233739837398373,1249,864,363,0.6917534027221778,0.29063250600480384,0.16837941898234043
CITY CHURCH OF MOBILE 2,870,352,458,0.4045977011494253,0.5264367816091954,0,0,0,NaN,NaN,NaN
