Precinct,Total.x,Trump,Clinton,trump_pct,clinton_pct,Total.y,Jones,Moore,jones_pct,moore_pct,change_dem
COURT HOUSE CONF ROOM,717,618,73,0.8619246861924686,0.10181311018131102,370,77,291,0.20810810810810812,0.7864864864864864,0.1062949979267971
COURTHOUSE ANNEX PRCT 23,489,367,103,0.7505112474437627,0.21063394683026584,264,82,179,0.3106060606060606,0.678030303030303,0.09997211377579476
COURTHOUSE BOX 10,566,411,142,0.726148409893993,0.2508833922261484,364,120,240,0.32967032967032966,0.6593406593406593,0.07878693744418125
COVE CHURCH AT CHASE,4324,2531,1523,0.5853376503237743,0.35222016651248844,3170,1692,1388,0.5337539432176656,0.43785488958990537,0.18153377670517712
COVE UNITED METHODIST CH,3469,2447,766,0.7053906024791006,0.22081291438454886,2672,1126,1416,0.4214071856287425,0.5299401197604791,0.20059427124419366
COVENANT PRESBYTERIAN CH,1985,1231,600,0.6201511335012595,0.3022670025188917,1693,829,792,0.4896633195510927,0.4678086237448317,0.187396317032201
COVINGTON PARK COMM CTR,1523,148,1342,0.09717662508207485,0.8811556139198949,1023,954,66,0.9325513196480938,0.06451612903225806,0.05139570572819885
COY PUBLIC SCHOOL HOUSE,237,46,189,0.1940928270042194,0.7974683544303798,155,137,18,0.8838709677419355,0.11612903225806452,0.08640261331155574
CRAGFORD FIRE,158,137,15,0.8670886075949367,0.0949367088607595,99,17,80,0.1717171717171717,0.8080808080808081,0.07678046285641221
CRANE HILL FIRE DEPT,1031,893,103,0.8661493695441319,0.09990300678952474,639,116,514,0.18153364632237873,0.8043818466353677,0.08163063953285399
CRANFORD RUTH VFD,793,694,79,0.8751576292559899,0.09962168978562422,428,73,343,0.1705607476635514,0.8014018691588785,0.07093905787792718
CRAWFORD VFD,843,470,345,0.5575326215895611,0.4092526690391459,488,289,196,0.5922131147540983,0.4016393442622951,0.1829604457149524
CRAWFORD VFD,843,470,345,0.5575326215895611,0.4092526690391459,772,302,463,0.3911917098445596,0.5997409326424871,-0.018060959194586335
CRAWFORD VFD,1566,1147,376,0.7324393358876118,0.24010217113665389,488,289,196,0.5922131147540983,0.4016393442622951,0.35211094361744444
CRAWFORD VFD,1566,1147,376,0.7324393358876118,0.24010217113665389,772,302,463,0.3911917098445596,0.5997409326424871,0.1510895387079057
CRENSHAW PARK,545,190,335,0.3486238532110092,0.6146788990825688,344,266,75,0.7732558139534884,0.2180232558139535,0.15857691487091963
CREOLA SENIOR CITIZENS 1,819,618,175,0.7545787545787546,0.21367521367521367,693,212,471,0.3059163059163059,0.6796536796536796,0.09224109224109225
CREOLA SENIOR CITIZENS 2,777,588,167,0.7567567567567568,0.21492921492921493,234,74,157,0.3162393162393162,0.6709401709401709,0.10131010131010129
CREWS METHODIST CHURCH,228,201,19,0.881578947368421,0.08333333333333333,132,18,114,0.13636363636363635,0.8636363636363636,0.053030303030303025
CROMWELL,143,31,106,0.21678321678321677,0.7412587412587412,91,71,19,0.7802197802197802,0.2087912087912088,0.038961038961038974
CROSSROADS,113,39,73,0.34513274336283184,0.6460176991150443,70,51,19,0.7285714285714285,0.2714285714285714,0.08255372945638428
CROSSROADS DURANT,563,414,126,0.7353463587921847,0.22380106571936056,347,127,216,0.3659942363112392,0.622478386167147,0.1421931705918786
CROSSVILLE LAWR,216,193,20,0.8935185185185185,0.09259259259259259,108,19,88,0.17592592592592593,0.8148148148148148,0.08333333333333334
CROW FIRE HALL,156,138,16,0.8846153846153846,0.10256410256410256,79,13,66,0.16455696202531644,0.8354430379746836,0.061992859461213884
CULLMAN CITY HALL,1041,854,135,0.8203650336215178,0.12968299711815562,576,170,387,0.2951388888888889,0.671875,0.16545589177073328
CULLMAN CIVIC CENTER,3722,3077,478,0.8267060720042988,0.12842557764642665,2107,580,1502,0.2752728998576175,0.7128618889416232,0.14684732221119084
CULLMAN CO HEALTH DEPT,442,387,36,0.8755656108597285,0.08144796380090498,268,61,200,0.22761194029850745,0.746268656716418,0.1461639764976025
CULLMAN CO OFFICE BLDG BA,1247,1046,148,0.838813151563753,0.11868484362469928,721,191,509,0.26490984743411927,0.7059639389736477,0.14622500380942
CULLOMBURG,199,81,112,0.40703517587939697,0.5628140703517588,125,83,42,0.664,0.336,0.10118592964824125
CURRYCOMMUNITY CTR,1199,1057,106,0.8815679733110926,0.0884070058381985,718,121,587,0.16852367688022285,0.8175487465181058,0.08011667104202436
CUSSETA,281,187,83,0.6654804270462633,0.29537366548042704,182,86,91,0.4725274725274725,0.5,0.17715380704704548
CYPRESS SHORES BAPTIST 1,600,507,73,0.845,0.12166666666666667,548,124,404,0.22627737226277372,0.7372262773722628,0.10461070559610705
CYPRESS SHORES BAPTIST 2,479,400,59,0.8350730688935282,0.12317327766179541,150,42,105,0.28,0.7,0.1568267223382046
DADEVILLE REC CENTER,1473,789,650,0.5356415478615071,0.4412763068567549,981,532,435,0.5423037716615698,0.4434250764525994,0.10102746480481495
DALEVILLE CULTURAL  CONV,1797,1147,566,0.6382860322760155,0.3149693934335003,1049,493,534,0.4699714013346044,0.5090562440419447,0.15500200790110413
DALLAS COUNTY COURTHOUSE,280,99,175,0.3535714285714286,0.625,218,166,50,0.7614678899082569,0.22935779816513763,0.13646788990825687
DALLASSELFVILLE,1274,1187,71,0.9317111459968603,0.05572998430141287,670,95,573,0.1417910447761194,0.8552238805970149,0.08606106047470652
DAMASCUS BOYKIN SCHOOL,293,162,129,0.552901023890785,0.4402730375426621,184,109,73,0.592391304347826,0.3967391304347826,0.15211826680516394
DAMASCUS SENIOR CENTER,468,426,32,0.9102564102564102,0.06837606837606838,249,34,211,0.13654618473895583,0.8473895582329317,0.06817011636288745
DANIELS CHAPEL FELLOWSHIP,153,128,21,0.8366013071895425,0.13725490196078433,96,30,62,0.3125,0.6458333333333334,0.17524509803921567
DANIELVILLE SCHOOL HOUSE,278,245,24,0.8812949640287769,0.08633093525179857,129,17,111,0.13178294573643412,0.8604651162790697,0.045452010484635555
DAPHNE CIVIC CENTER,9651,6293,2782,0.6520567816806548,0.28826028390840325,6677,3280,3189,0.49123858020068895,0.47760970495731614,0.2029782962922857
DAPHNE HIGH SCHOOL,2351,1662,514,0.7069332199064228,0.21863037005529562,1489,670,764,0.44996642041638685,0.5130960376091337,0.23133605036109123
DAUPHIN ISLAND METHODIST 1,380,324,47,0.8526315789473684,0.12368421052631579,288,88,196,0.3055555555555556,0.6805555555555556,0.1818713450292398
DAUPHIN ISLAND METHODIST 2,482,363,101,0.7531120331950207,0.2095435684647303,347,128,213,0.3688760806916426,0.6138328530259366,0.15933251222691233
DAVID BURT BUILDING,674,468,189,0.6943620178041543,0.28041543026706234,373,157,215,0.42091152815013405,0.5764075067024129,0.1404960978830717
DAVISTON COMMUNITY CENTER,254,197,48,0.7755905511811023,0.1889763779527559,160,46,108,0.2875,0.675,0.09852362204724407
DAYSPRING BAPTIST 1,1177,802,313,0.6813933729821581,0.2659303313508921,1215,534,651,0.43950617283950616,0.5358024691358024,0.17357584148861405
DAYSPRING BAPTIST 2,951,676,235,0.7108307045215563,0.24710830704521555,460,205,237,0.44565217391304346,0.5152173913043478,0.1985438668678279
DAYSPRING BAPTIST 3,1387,941,391,0.6784426820475847,0.28190338860850755,621,268,337,0.43156199677938806,0.5426731078904992,0.1496586081708805
DEAN ROAD REC CTR,3966,2014,1501,0.507816439737771,0.37846696923852746,2736,1765,874,0.6451023391812866,0.3194444444444444,0.2666353699427591
DEANS CHAPEL COMMUNITY,319,256,53,0.8025078369905956,0.16614420062695925,196,49,146,0.25,0.7448979591836735,0.08385579937304075
DEARMANVILLE UNITED METH,822,673,115,0.818734793187348,0.13990267639902676,472,148,310,0.3135593220338983,0.6567796610169492,0.17365664563487154
DEATSVILLE VOL FIRE,1108,846,213,0.7635379061371841,0.19223826714801445,695,213,469,0.3064748201438849,0.6748201438848921,0.11423655299587043
DECATUR BAPTIST CHURCH,3301,2315,822,0.7013026355649803,0.24901544986367768,2025,897,1084,0.44296296296296295,0.5353086419753087,0.19394751309928526
DECATUR FIRE  RESCUE 8,1322,1056,207,0.7987897125567323,0.15658093797276854,1006,275,687,0.27335984095427435,0.6829025844930418,0.11677890298150581
DECATUR UTILITIES,505,339,147,0.6712871287128713,0.29108910891089107,304,132,165,0.4342105263157895,0.5427631578947368,0.14312141740489842
DELMAR FIRE DEPT,213,186,18,0.8732394366197183,0.08450704225352113,111,19,91,0.17117117117117117,0.8198198198198198,0.08666412891765005
DELTA COMMUNITY CTR,244,226,11,0.9262295081967213,0.045081967213114756,142,16,125,0.11267605633802817,0.8802816901408451,0.06759408912491341
DEMOPOLIS CIVIC CENTER,978,247,707,0.25255623721881393,0.7229038854805726,686,550,132,0.8017492711370262,0.1924198250728863,0.0788453856564536
DEMOPOLIS NATL GUARD,870,206,660,0.2367816091954023,0.7586206896551724,640,544,92,0.85,0.14375,0.0913793103448276
DETROIT CITY HALL,282,253,26,0.8971631205673759,0.09219858156028368,168,23,142,0.13690476190476192,0.8452380952380952,0.044706180344478236
DEVCO COMMUNITY CTR,491,420,57,0.8553971486761711,0.11608961303462322,273,49,212,0.1794871794871795,0.7765567765567766,0.06339756645255627
DILWORTH COMM CTR,323,284,32,0.8792569659442725,0.09907120743034056,181,39,141,0.2154696132596685,0.7790055248618785,0.11639840582932795
DISTRICT 1 COUNTY SHOP,1153,968,152,0.839549002601908,0.13183000867302688,671,173,484,0.2578241430700447,0.7213114754098361,0.12599413439701782
DISTRICT 4 COMM CTR,423,226,188,0.5342789598108747,0.4444444444444444,290,163,125,0.5620689655172414,0.43103448275862066,0.11762452107279697
DISTRICT 4 COUNTY SHOP,659,559,81,0.8482549317147192,0.12291350531107739,373,74,293,0.19839142091152814,0.7855227882037533,0.07547791560045075
DISTRICT 4 RECREATION,242,7,228,0.028925619834710745,0.9421487603305785,197,189,6,0.9593908629441624,0.030456852791878174,0.017242102613583943
DIXIE VFD,331,209,116,0.6314199395770392,0.3504531722054381,197,93,101,0.4720812182741117,0.5126903553299492,0.12162804606867361
DIXIE VOL FIRE DEPT,43,37,6,0.8604651162790697,0.13953488372093023,27,5,22,0.18518518518518517,0.8148148148148148,0.045650301464254944
DIXONS MILLS VOL FIRE,732,125,600,0.17076502732240437,0.819672131147541,583,507,76,0.869639794168096,0.13036020583190394,0.049967663020555
DODGE CITY TOWN HALL,615,558,38,0.9073170731707317,0.061788617886178863,354,56,293,0.15819209039548024,0.827683615819209,0.09640347250930137
DODGE ELEMENTARY 1,1038,579,407,0.5578034682080925,0.3921001926782274,743,387,339,0.5208613728129206,0.45625841184387617,0.12876118013469318
DODGE ELEMENTARY 2,804,495,264,0.6156716417910447,0.3283582089552239,603,326,268,0.5406301824212272,0.4444444444444444,0.2122719734660033
DOGTOWN MASONIC LODGE,634,554,58,0.8738170347003155,0.0914826498422713,365,70,289,0.1917808219178082,0.7917808219178082,0.10029817207553691
DONALD BAPTIST CHURCH,378,263,98,0.6957671957671958,0.25925925925925924,221,78,141,0.35294117647058826,0.6380090497737556,0.09368191721132901
DOTHAN 1ST ASSEMBLY CLC,3262,2589,532,0.7936848559166155,0.1630901287553648,1911,598,1268,0.3129251700680272,0.663526949241235,0.14983504131266243
DOUBLE SPRINGS MUN BLDG,1173,1035,103,0.8823529411764706,0.08780903665814152,630,109,511,0.173015873015873,0.8111111111111111,0.08520683635773149
DOUGLAS CITY HALL,597,517,65,0.8659966499162479,0.10887772194304858,336,68,256,0.20238095238095238,0.7619047619047619,0.0935032304379038
DOUGLAS CROSSROADS,359,331,23,0.9220055710306406,0.06406685236768803,207,29,177,0.14009661835748793,0.855072463768116,0.07602976598979991
DOUGLASVILLE BOYKIN CTR,430,23,395,0.053488372093023255,0.9186046511627907,328,307,19,0.9359756097560976,0.057926829268292686,0.01737095859330695
DOZIER CITY HALL,253,176,72,0.6956521739130435,0.2845849802371542,169,65,102,0.38461538461538464,0.6035502958579881,0.10003040437823046
DR RICHARD SHOWERS CTR,1315,71,1221,0.05399239543726236,0.9285171102661597,1075,1036,35,0.9637209302325581,0.03255813953488372,0.03520381996639843
DUNBAR COMMUNITY CTR,982,162,803,0.164969450101833,0.8177189409368636,627,521,105,0.8309409888357256,0.1674641148325359,0.013222047898862055
DUNCAN MEMORIAL COMMCTR,663,471,177,0.7104072398190046,0.2669683257918552,389,154,227,0.39588688946015427,0.583547557840617,0.12891856366829907
DUNCANVILLE MIDDLE SCHOOL,1829,1397,365,0.7638053581191908,0.19956260251503555,1035,373,643,0.36038647342995167,0.621256038647343,0.16082387091491612
DUNNAVANT COMM CTR,433,386,30,0.8914549653579676,0.06928406466512702,269,40,222,0.14869888475836432,0.8252788104089219,0.0794148200932373
DUNNS VOTING CENTER 1,24,14,9,0.5833333333333334,0.375,16,7,9,0.4375,0.5625,0.0625
DUTTON CITY HALL,1008,809,167,0.8025793650793651,0.16567460317460317,503,149,349,0.2962226640159046,0.6938369781312127,0.1305480608413014
EAGLE CREEK VOTING HOUSE,259,221,34,0.8532818532818532,0.13127413127413126,157,26,129,0.16560509554140126,0.821656050955414,0.03433096426727
EAGLEPOINT CHURCH,1445,860,493,0.5951557093425606,0.3411764705882353,940,500,418,0.5319148936170213,0.44468085106382976,0.19073842302878596
EAST BREWTON SAIL SITE,1098,719,351,0.6548269581056466,0.319672131147541,593,247,341,0.41652613827993257,0.5750421585160203,0.09685400713239156
EAST COLBERT SEN CTR,1290,968,266,0.7503875968992249,0.2062015503875969,829,308,515,0.3715319662243667,0.6212303980699638,0.16533041583676977
EAST GADSDEN REC CTR,1380,299,1045,0.21666666666666667,0.7572463768115942,992,851,138,0.8578629032258065,0.13911290322580644,0.10061652641421226
EAST PERRY,114,75,37,0.6578947368421053,0.32456140350877194,75,35,40,0.4666666666666667,0.5333333333333333,0.14210526315789473
EAST POINT COMMUNITY CTR,548,468,57,0.8540145985401459,0.10401459854014598,342,70,265,0.2046783625730994,0.7748538011695907,0.10066376403295342
EASTEND FIRE STATION,599,8,587,0.01335559265442404,0.9799666110183639,514,510,4,0.9922178988326849,0.007782101167315175,0.012251287814320944
EBENEZER FELLOWSHIP HALL,382,235,133,0.6151832460732984,0.3481675392670157,239,120,116,0.502092050209205,0.48535564853556484,0.15392451094218929
EBENEZER VOTING CENTER 1,72,56,14,0.7777777777777778,0.19444444444444445,41,14,27,0.34146341463414637,0.6585365853658537,0.14701897018970192
EBENEZER VOTING CTR 2,105,81,24,0.7714285714285715,0.22857142857142856,73,27,45,0.3698630136986301,0.6164383561643836,0.14129158512720155
ECHO FIRERESCUE COMM,862,801,47,0.9292343387470998,0.054524361948955914,519,54,460,0.10404624277456648,0.8863198458574181,0.04952188082561056
ECLECTIC METHODIST CHURCH,879,623,222,0.7087599544937428,0.2525597269624573,537,198,331,0.3687150837988827,0.6163873370577281,0.11615535683642536
EDWARDSVILLE COMM,326,300,15,0.9202453987730062,0.046012269938650305,143,15,125,0.1048951048951049,0.8741258741258742,0.05888283495645459
EDWIN VOTING CENTER,200,119,80,0.595,0.4,125,58,67,0.464,0.536,0.064
EGYPT COMMUNITY CENTER,367,312,45,0.8501362397820164,0.1226158038147139,228,50,177,0.21929824561403508,0.7763157894736842,0.09668244179932117
EICHOLDMERTZ ELEMENTARY 1,431,91,333,0.2111368909512761,0.7726218097447796,267,233,30,0.8726591760299626,0.11235955056179775,0.100037366285183
EICHOLDMERTZ ELEMENTARY 2,602,100,490,0.16611295681063123,0.813953488372093,455,387,66,0.8505494505494505,0.14505494505494507,0.0365959621773575
ELAMVILLE VOL FIRE,258,190,65,0.7364341085271318,0.25193798449612403,182,52,130,0.2857142857142857,0.7142857142857143,0.033776301218161664
ELBA NATIONAL GUARD,368,261,102,0.7092391304347826,0.27717391304347827,236,84,152,0.3559322033898305,0.6440677966101694,0.07875829034635223
ELBERTA CIVIC CENTER,1665,1377,210,0.827027027027027,0.12612612612612611,1089,282,758,0.25895316804407714,0.6960514233241506,0.13282704191795103
ELDRIDGE CITY HALL,211,193,13,0.9146919431279621,0.061611374407582936,135,14,121,0.1037037037037037,0.8962962962962963,0.042092329296120765
ELKMONT TOWN HALL,1280,1052,170,0.821875,0.1328125,703,192,504,0.27311522048364156,0.716927453769559,0.14030272048364156
ELKTON RD BAPTIST CHURCH,1111,895,167,0.8055805580558055,0.15031503150315031,604,167,426,0.2764900662251656,0.7052980132450332,0.12617503472201527
ELLIOTT COMMUNITY CENTER,1146,751,338,0.6553228621291448,0.2949389179755672,663,290,350,0.4374057315233786,0.5279034690799397,0.14246681354781138
ELLISVILLE COMM CENTER,503,313,173,0.6222664015904572,0.34393638170974156,338,137,190,0.40532544378698226,0.5621301775147929,0.06138906207724071
ELM GROVE CHURCH,99,87,12,0.8787878787878788,0.12121212121212122,62,9,53,0.14516129032258066,0.8548387096774194,0.02394916911045944
ELROD VFD STATION,254,227,22,0.8937007874015748,0.08661417322834646,143,29,113,0.20279720279720279,0.7902097902097902,0.11618302956885633
ELSANOR COMMUNITY,959,868,62,0.9051094890510949,0.06465067778936393,544,80,448,0.14705882352941177,0.8235294117647058,0.08240814574004784
EMELLE SUMT TOWN HALL,271,80,189,0.2952029520295203,0.6974169741697417,203,159,41,0.7832512315270936,0.2019704433497537,0.08583425735735195
EMPIRE UNION BLDG,771,671,77,0.8702983138780804,0.09987029831387809,404,70,324,0.17326732673267325,0.801980198019802,0.07339702841879517
ENON COUNTY BLDG,208,184,17,0.8846153846153846,0.08173076923076923,130,15,115,0.11538461538461539,0.8846153846153846,0.03365384615384616
ENTERPRISE CHURCH,528,470,45,0.8901515151515151,0.08522727272727272,302,48,254,0.15894039735099338,0.8410596026490066,0.07371312462372066
EPRISE STATE COMM COLLEGE,1267,856,357,0.675611681136543,0.281767955801105,688,290,382,0.42151162790697677,0.5552325581395349,0.1397436721058718
EQUALITY FIRE DEPT BOX 8,408,333,66,0.8161764705882353,0.16176470588235295,302,60,234,0.1986754966887417,0.7748344370860927,0.03691079080638876
ER DICKSON ELEMENTARY 1,1548,1026,432,0.6627906976744186,0.27906976744186046,1120,508,574,0.45357142857142857,0.5125,0.1745016611295681
ER DICKSON ELEMENTARY 2,1006,675,238,0.6709741550695825,0.23658051689860835,594,271,302,0.4562289562289562,0.5084175084175084,0.21964843933034786
ESTILL FORK PRINCES STORE,85,77,6,0.9058823529411765,0.07058823529411765,52,7,44,0.1346153846153846,0.8461538461538461,0.06402714932126696
ET SIMS JR BUILDING,3316,2838,381,0.8558504221954162,0.11489746682750301,1748,349,1386,0.19965675057208238,0.7929061784897025,0.08475928374457936
ETHELSVILLE,140,109,29,0.7785714285714286,0.20714285714285716,81,19,60,0.2345679012345679,0.7407407407407407,0.027425044091710732
EUFAULA COMMUNITY CENTER,1157,665,472,0.57476231633535,0.4079515989628349,749,400,344,0.5340453938584779,0.45927903871829107,0.12609379489564304
EUFAULA WATER BOARD,787,289,486,0.36721728081321475,0.6175349428208387,507,369,134,0.727810650887574,0.26429980276134124,0.11027570806673537
EULATON UNITED METHODIST,687,543,123,0.7903930131004366,0.17903930131004367,386,111,271,0.28756476683937826,0.7020725388601037,0.10852546552933459
EVA VOLUNTEER FIRE,754,645,83,0.8554376657824934,0.11007957559681697,473,100,368,0.21141649048625794,0.7780126849894292,0.10133691488944097
EVANGEL PRESBY CHURCH,3715,2602,900,0.7004037685060566,0.24226110363391656,2363,1034,1265,0.43757934828607703,0.5353364367329666,0.19531824465216047
EWELL FIRE STATION,1063,841,195,0.7911571025399812,0.18344308560677328,642,178,455,0.2772585669781931,0.7087227414330218,0.09381548137141985
EXCEL ASSEMBLY,1313,1132,156,0.8621477532368621,0.1188118811881188,695,130,558,0.18705035971223022,0.8028776978417266,0.06823847852411141
FACKLER FIRE HALL,384,304,66,0.7916666666666666,0.171875,191,57,132,0.29842931937172773,0.6910994764397905,0.12655431937172773
FADETTE,669,621,37,0.9282511210762332,0.05530642750373692,426,39,386,0.09154929577464789,0.9061032863849765,0.03624286827091097
FAIRFIELD CH 221  301,256,221,31,0.86328125,0.12109375,141,34,106,0.24113475177304963,0.75177304964539,0.12004100177304963
FAIRFORD FIRE HOUSE,380,259,113,0.6815789473684211,0.29736842105263156,222,82,137,0.36936936936936937,0.6171171171171171,0.07200094831673781
FAIRHOPE CIVIC CENTER,7474,5021,2026,0.6717955579341718,0.27107305325127107,5742,2700,2802,0.4702194357366771,0.48798328108672934,0.19914638248540606
FAIRVIEW CHURCH,157,148,7,0.9426751592356688,0.044585987261146494,93,12,80,0.12903225806451613,0.8602150537634409,0.08444627080336964
FAIRVIEW FIRE DEPT AK,574,505,49,0.8797909407665505,0.08536585365853659,342,68,271,0.19883040935672514,0.7923976608187134,0.11346455569818854
FAIRVIEW SIZEMORE,57,35,22,0.6140350877192983,0.38596491228070173,35,14,21,0.4,0.6,0.01403508771929829
FAIRVIEW TOWN HALL LZ,478,421,44,0.8807531380753139,0.09205020920502092,245,38,203,0.15510204081632653,0.8285714285714286,0.0630518316113056
FAITH FELLOWSHIP,340,3,332,0.008823529411764706,0.9764705882352941,289,282,7,0.9757785467128027,0.02422145328719723,-6.920415224913601e-4
FAITH LUTHERAN,3694,1883,1488,0.5097455332972388,0.402815376285869,2835,1692,1029,0.5968253968253968,0.362962962962963,0.19401002053952782
FAITH PRESBYTERIAN CHURCH,2223,1689,336,0.7597840755735492,0.15114709851551958,1543,558,912,0.36163318211276735,0.5910563836681789,0.21048608359724777
FALKVILLE MUNICIPAL BLDG,864,738,97,0.8541666666666666,0.11226851851851852,466,101,357,0.2167381974248927,0.7660944206008584,0.10446967890637418
FARM CENTER,2635,1880,668,0.713472485768501,0.2535104364326376,1645,645,982,0.39209726443769,0.5969604863221885,0.1385868280050524
FARMSTEAD BAPTIST,2166,1902,201,0.8781163434903048,0.09279778393351801,1193,252,919,0.2112321877619447,0.7703269069572506,0.11843440382842668
FARMVILLE VFD,1415,978,344,0.6911660777385159,0.2431095406360424,935,446,452,0.4770053475935829,0.4834224598930481,0.23389580695754048
FAUNSDALE TOWN OFFICE,379,146,230,0.38522427440633245,0.6068601583113457,284,204,79,0.7183098591549296,0.27816901408450706,0.11144970084358397
FAYETTE CIVIC CENTER,1497,1127,323,0.7528390113560455,0.21576486305945225,864,298,555,0.3449074074074074,0.6423611111111112,0.12914254434795513
FAYETTE YOUTH CENTER,832,521,291,0.6262019230769231,0.34975961538461536,503,219,280,0.43538767395626243,0.5566600397614314,0.08562805857164707
FAYETTECOVIN VOTING CTR,208,116,82,0.5576923076923077,0.3942307692307692,114,63,51,0.5526315789473685,0.4473684210526316,0.15840080971659926
FAYETTEVILLE VFD,731,580,137,0.7934336525307798,0.18741450068399454,412,128,281,0.3106796116504854,0.6820388349514563,0.12326511096649087
FELLOWSHIP BAPTIST,1099,792,284,0.7206551410373067,0.2584167424931756,609,226,376,0.37110016420361247,0.6174055829228243,0.11268342171043688
FELLOWSHIP BAPTIST COMM,131,104,20,0.7938931297709924,0.15267175572519084,85,23,59,0.27058823529411763,0.6941176470588235,0.11791647956892679
FERNBANK COMMUNITY CENTER,211,196,12,0.9289099526066351,0.05687203791469194,93,3,89,0.03225806451612903,0.956989247311828,-0.02461397339856291
FIRE  RESCUE TRAINING,1125,255,828,0.22666666666666666,0.736,863,732,124,0.8482039397450754,0.1436848203939745,0.11220393974507537
FIRE DEPARTMENT HURTSBORO,716,159,548,0.22206703910614525,0.7653631284916201,504,411,93,0.8154761904761905,0.18452380952380953,0.05011306198457033
FIRST BAPT CHURCH TANNER,559,262,283,0.46869409660107336,0.5062611806797853,388,248,136,0.6391752577319587,0.35051546391752575,0.1329140770521734
FIRST BAPT MERIDANVILLE,1779,923,749,0.5188308038223721,0.4210230466554244,1302,787,484,0.6044546850998463,0.3717357910906298,0.18343163844442195
FIRST BAPTIST CHURCH,3175,2533,476,0.7977952755905512,0.1499212598425197,1868,506,1307,0.2708779443254818,0.699678800856531,0.1209566844829621
FIRST BAPTIST CHURCH,3175,2533,476,0.7977952755905512,0.1499212598425197,862,338,511,0.39211136890951276,0.5928074245939675,0.24219010906699306
FIRST BAPTIST CHURCH,1243,854,320,0.6870474658085277,0.2574416733708769,1868,506,1307,0.2708779443254818,0.699678800856531,0.013436270954604868
FIRST BAPTIST CHURCH,1243,854,320,0.6870474658085277,0.2574416733708769,862,338,511,0.39211136890951276,0.5928074245939675,0.13466969553863584
FIRST BIBLE CHURCH,1976,1222,662,0.618421052631579,0.3350202429149798,1312,608,676,0.4634146341463415,0.5152439024390244,0.1283943912313617
FIRST CHURH OF GOD MADISO,1672,1022,499,0.611244019138756,0.298444976076555,1301,635,585,0.4880860876249039,0.4496541122213682,0.1896411115483489
FIRST MISSIONARY BAPTIST,1847,178,1619,0.09637249593936113,0.8765565782349757,1451,1350,85,0.9303928325292902,0.0585802894555479,0.05383625429431449
FIRST SOUTHERN BAPTIST CH,897,749,121,0.835005574136009,0.13489409141583056,578,157,413,0.27162629757785467,0.7145328719723183,0.1367322061620241
FISCHER COMM CTR PCT 113,125,101,23,0.808,0.184,60,16,43,0.26666666666666666,0.7166666666666667,0.08266666666666667
FISCHER COMM CTR PCT 313,349,304,35,0.8710601719197708,0.10028653295128939,183,38,141,0.20765027322404372,0.7704918032786885,0.10736374027275433
FITZPATRICK,225,148,69,0.6577777777777778,0.30666666666666664,154,56,97,0.36363636363636365,0.6298701298701299,0.056969696969697003
FIVE POINTS,256,89,163,0.34765625,0.63671875,145,114,31,0.7862068965517242,0.21379310344827587,0.14948814655172415
FLAT CREEK COMMUNITY CTR,214,192,18,0.897196261682243,0.08411214953271028,115,14,101,0.12173913043478261,0.8782608695652174,0.03762698090207234
FLAT ROCK FIRE DEPT,91,75,10,0.8241758241758241,0.10989010989010989,55,14,41,0.2545454545454545,0.7454545454545455,0.14465534465534463
FLAT ROCK RURITAN BLDG,430,371,43,0.8627906976744186,0.1,216,28,185,0.12962962962962962,0.8564814814814815,0.029629629629629617
FLATWOODS BAPT,2010,1336,600,0.6646766169154229,0.29850746268656714,1316,612,679,0.46504559270516715,0.5159574468085106,0.16653813001860002
FLOMATON COMMUNITY HOUSE,407,295,99,0.7248157248157249,0.24324324324324326,240,91,147,0.37916666666666665,0.6125,0.1359234234234234
FLOMATON TOWN HALL,453,393,54,0.8675496688741722,0.11920529801324503,250,41,207,0.164,0.828,0.044794701986754976
FLORALA OLD NATL GUARD,834,656,157,0.7865707434052758,0.1882494004796163,461,127,332,0.2754880694143167,0.720173535791757,0.08723866893470039
FLORENCE  FIRST BAPTIST,518,247,215,0.4768339768339768,0.41505791505791506,353,242,102,0.6855524079320113,0.28895184135977336,0.27049449287409627
FLORENCE  HIGH SCHOOL,1272,747,431,0.5872641509433962,0.3388364779874214,837,447,365,0.5340501792114696,0.43608124253285546,0.1952137012240482
FLORENCE BLVD CH CHRIST,904,625,223,0.6913716814159292,0.24668141592920353,601,276,308,0.45923460898502494,0.5124792013311148,0.2125531930558214
FOLEY CIVIC CENTER,5515,4016,1270,0.728195829555757,0.2302810516772439,3705,1415,2185,0.38191632928475033,0.5897435897435898,0.15163527760750645
FORDS VALLEY WATER,526,458,61,0.870722433460076,0.11596958174904944,268,65,200,0.24253731343283583,0.746268656716418,0.12656773168378638
FORDS VT CTRBRUCE TURNER,117,96,18,0.8205128205128205,0.15384615384615385,69,9,59,0.13043478260869565,0.855072463768116,-0.023411371237458206
FOREST HOME  VOTING HOUS,128,105,23,0.8203125,0.1796875,69,15,54,0.21739130434782608,0.782608695652174,0.03770380434782608
FOREST LAKE METH,659,321,254,0.48710166919575115,0.38543247344461307,395,301,82,0.7620253164556962,0.20759493670886076,0.3765928430110831
FORKLAND CITY HALL,734,164,556,0.22343324250681199,0.7574931880108992,556,480,74,0.8633093525179856,0.13309352517985612,0.10581616450708642
