County,Total.x,Trump,Clinton,trump_pct,clinton_pct,Total.y,Moore,Jones,moore_pct,jones_pct,change_dem
Marion,13104,11273,1432,0.8602716727716728,0.10927960927960928,6554,5190,1291,0.7918828196521208,0.19697894415624045,0.08769933487663117
Marshall,35515,29233,4917,0.8231169928199352,0.13844854286921018,19450,13842,5145,0.7116709511568123,0.26452442159383033,0.12607587872462014
Mobile,171428,94002,71001,0.5483468278227595,0.4141738805796019,111133,46828,62716,0.4213689903089091,0.5643328264331927,0.1501589458535908
Monroe,10337,5795,4332,0.5606075263616136,0.4190771016735997,6583,3280,3256,0.49825307610511926,0.49460732188971596,0.07553022021611627
Montgomery,96381,34003,58916,0.35279775059399676,0.6112823066787022,66907,17739,48374,0.265129209200831,0.7230035721224984,0.11172126544379624
Morgan,50964,37486,11254,0.7355388117102268,0.2208225414017738,30849,19215,10935,0.6228727025187202,0.3544685403092483,0.1336459989074745
Perry,5299,1407,3824,0.2655217965653897,0.7216455935082091,3974,821,3140,0.2065928535480624,0.790135883241067,0.06849028973285787
Pickens,9588,5454,3972,0.5688360450563203,0.4142678347934919,6066,2965,3064,0.4887899769205407,0.5051104516979887,0.09084261690449685
Pike,13265,7693,5056,0.5799472295514512,0.3811534112325669,8244,4165,4015,0.505215914604561,0.48702086365841823,0.10586745242585133
Randolph,10267,7697,2290,0.7496834518359794,0.22304470634070322,4951,3231,1695,0.6525954352656029,0.34235507978186225,0.11931037344115902
Russell,19367,9210,9577,0.47555119533226625,0.49450095523312854,10442,3622,6761,0.3468684160122582,0.6474813254165869,0.15298037018345834
Shelby,101542,72846,22927,0.7173977270489059,0.22578834373953635,65511,36455,27311,0.5564714322785487,0.4168918196944025,0.19110347595486613
StClair,38523,31579,5550,0.8197440490096826,0.14406977649715755,22572,15889,6212,0.7039252170831118,0.2752082225766436,0.13113844607948608
Sumter,6437,1581,4746,0.2456113096162809,0.7372999844648128,4367,814,3533,0.18639798488664988,0.8090222120448821,0.0717222275800693
Talladega,33629,20614,12121,0.6129828421897767,0.36043295964792293,19916,9701,9977,0.4870958023699538,0.5009540068286804,0.14052104718075747
Tallapoosa,19545,13594,5519,0.6955231517012024,0.2823740086978767,11994,7179,4605,0.5985492746373187,0.38394197098549276,0.10156796228761605
Tuscaloosa,83087,47723,31762,0.5743738490979335,0.3822740019497635,53968,22067,30869,0.4088904536021346,0.5719871034687222,0.18971310151895865
Walker,29490,24266,4497,0.8228552051542896,0.15249237029501525,16516,11938,4330,0.7228142407362558,0.2621700169532574,0.10967764665824217
Washington,8590,6031,2366,0.7020954598370198,0.27543655413271245,5194,3325,1805,0.6401617250673854,0.3475163650365807,0.07207981090386822
Wilcox,6017,1737,4329,0.28868206747548614,0.7194615256772477,4361,1e3,3345,0.22930520522815867,0.7670259114881908,0.04756438581094302
Winston,10383,9228,872,0.888760473851488,0.08398343446017528,5666,4681,911,0.8261560183551006,0.16078362160254148,0.0768001871423662
